Id,Label,timeset,num_minutes,avg_hour,indegree,outdegree,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
1,VQYI,,247595.6347,15.308106,130,111,241,4,0.598465,0.715456,5795.907283
2,VDRU,,161171.0655,15.555945,110,98,208,4,0.566586,0.681268,2512.241011
3,JRH,,127309.1758,15.160583,120,89,209,4,0.557143,0.662393,3746.592689
4,VCQF,,98563.43486,15.581297,102,87,189,4,0.542923,0.653846,1402.87574
5,MVJK,,81676.05827,14.354276,74,64,138,4,0.508696,0.600427,411.201531
6,KNJL,,59484.23977,13.414512,42,112,154,4,0.604651,0.718661,2594.736938
7,VQCL,,57176.06628,15.064839,95,86,181,4,0.5625,0.660969,2227.67473
8,SNNN,,52924.14763,14.458008,71,72,143,4,0.531818,0.625,994.905415
9,VQXG,,50445.51588,16.094796,81,71,152,4,0.527027,0.621439,1635.620641
10,AJG,,44439.43061,15.528851,89,85,174,4,0.559809,0.658832,2759.166731
11,SAX,,44274.00818,16.224569,80,74,154,4,0.525843,0.625356,1871.813785
12,GAN,,38894.97529,15.712186,137,94,231,4,0.554502,0.670228,6203.956072
13,KVKE,,32938.78314,15.982192,60,56,116,4,0.494715,0.580128,223.781043
14,SKG,,32184.81997,15.025199,70,70,140,4,0.516556,0.614316,1602.650551
15,GANZE,,30555.22291,15.53387,60,68,128,4,0.516556,0.611111,911.715412
16,VSZY,,30062.83372,15.037037,26,41,67,4,0.46988,0.541667,41.040291
17,LCY,,29838.42079,14.937079,92,76,168,4,0.546729,0.638889,1889.552898
18,VKUS,,29109.7743,15.51763,37,44,81,4,0.479508,0.552707,62.536977
19,DZWN,,28732.53273,15.127612,70,60,130,4,0.50431,0.592236,1119.112074
20,TKLV,,27898.05319,15.189542,50,49,99,4,0.479508,0.558761,2170.270638
21,GANPE,,25649.65254,15.080253,71,51,122,4,0.485477,0.566952,526.292386
22,ZUB,,25249.82684,16.224602,47,48,95,4,0.47561,0.556268,45.254377
23,TZR,,24262.01702,16.160022,53,60,113,4,0.509804,0.595085,157.977157
24,BZE,,22564.01849,16.761833,67,57,124,4,0.498934,0.584402,1123.5254
25,GANZW,,19957.22619,14.155396,54,70,124,4,0.512035,0.611467,727.680253
26,SEJ,,19175.64403,16.111111,56,55,111,4,0.493671,0.577279,149.824204
27,GANPW,,18866.60524,14.201659,38,44,82,4,0.483471,0.554843,214.387428
28,BKAC,,18152.49574,14.408765,40,39,79,5,0.466135,0.536823,36.766371
29,VJR,,17294.18723,14.141503,42,44,86,4,0.471774,0.547365,44.080944
30,CVXC,,16560.02995,16.362369,57,56,113,4,0.495763,0.581197,576.103278
31,RDLFI,,16143.25532,15.581081,51,49,100,4,0.490566,0.567664,162.802866
